Country,Year,Month,Quarter,Week,"Notes Issued (UOM:INR(IndianRupees)), Scaling Factor:10000000","Notes In Circulation (UOM:INR(IndianRupees)), Scaling Factor:10000000","Notes Held In Banking Department (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of The Central Government (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Market Stabilisation Scheme (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of State Governments (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposit Of Scheduled State Co-Operative Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Other Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Deposits (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Financial Institution Outside India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Liabilities (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Liabilities (UOM:INR(IndianRupees)), Scaling Factor:10000000","Foreign Currency Assets (UOM:INR(IndianRupees)), Scaling Factor:10000000","Gold Coin And Bullion (UOM:INR(IndianRupees)), Scaling Factor:10000000","Rupee Securities (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To The Central Government (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To State Governments (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Nabard (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Scheduled State Co-Operative Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Industrial Development Bank Of India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Export-Import Bank Of India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Others (UOM:INR(IndianRupees)), Scaling Factor:10000000","Loans And Advances To Financial Institution Outside India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Bills Purchased And Discounted (UOM:INR(IndianRupees)), Scaling Factor:10000000","Commercial Bills Purchased And Discounted (UOM:INR(IndianRupees)), Scaling Factor:10000000","Treasury Bills Purchased And Discounted (UOM:INR(IndianRupees)), Scaling Factor:10000000","Investments (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Assets (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Assets (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,,,,,3536460.83,3536444.17,18.51,1657709.27,101,,42.5,1033128.01,8763.5,55983.9,601298.8,,1941476.03,7100985.46,4997797.45,586520.71,1310749.99,362186.65,11817,37124.02,,244697,,,,158592.6,,,,,2063.6,20002.64,7100985.46
India,"Financial Year (Apr - Mar), 2024","October, 2024","October - December, 2024","Week 30, 2024",3499615.35,3499600.73,14.62,1727118.84,100.86,,42.48,1042980.51,8264.68,55966.6,619763.71,,1925821.18,7152555.37,5030178.08,576180.63,1310982.2,216732.46,,24079.4,,30948,,,,161705.06,,,,,2063.6,16418.4,7152555.37
India,"Financial Year (Apr - Mar), 2024","October, 2024","October - December, 2024","Week 29, 2024",3483578.38,3483561.58,16.8,1721271.59,101,,42.46,984540.95,8056.93,55202.75,673327.5,,1937176.58,7142026.55,5064122.73,567031.7,1312479.71,180260.41,,23397.54,,7756,,,,149106.87,,,,,2063.6,16068.4,7142026.55
India,"Financial Year (Apr - Mar), 2024","October, 2024","October - December, 2024","Week 28, 2024",3488378.07,3488363.18,14.89,1730126.87,100.86,,42.47,983424,8071.98,55076.01,683411.55,,1931136.0,7149640.94,5095927.99,551932.24,1313449.66,170366.33,,9073.58,,4843,,,,156449.75,,,,,2063.6,15901.12,7149640.94
India,"Financial Year (Apr - Mar), 2024","October, 2024","October - December, 2024","Week 27, 2024",3458728.58,3458700.94,27.64,1830991.25,100.68,,42.47,985504.19,8375.16,55406.28,781562.47,,1984396.12,7274115.95,5178997.86,552159.86,1312034.37,214834.45,,35808.97,,7076,,,,171949.48,,,,,2063.6,14025.81,7274115.95
India,"Financial Year (Apr - Mar), 2024","September, 2024","July - September, 2024","Week 26, 2024",3447402.95,3447381.0,22,1851979.0,100,,42,1020447.0,8254,54632,768504,,2008888.0,7308270.0,5192638.23,550741,1314644.52,234178,,24412,,33302,,,,176464,,,,,2063.6,14006.1,7308270.0
India,"Financial Year (Apr - Mar), 2024","September, 2024","July - September, 2024","Week 25, 2024",3455957.06,3455943.0,14,1784146.0,100,,42,956255,7923,54798,765028,,1965094.0,7205197.0,5097051.28,531634,1313608.57,247724,,26447,,51223,,,,170054,,,,,2063.6,13116.86,7205197.0
India,"Financial Year (Apr - Mar), 2024","September, 2024","July - September, 2024","Week 24, 2024",3474463.46,3474448.9,14.56,1715824.53,100.24,,42.47,1004955.63,8382.89,54720.83,647622.47,,1967284.92,7157572.91,5099790.11,527635.61,1313481.71,202131.31,,29725.22,,10917,,,,161489.09,,,,,2063.6,12470.57,7157572.91
India,"Financial Year (Apr - Mar), 2024","September, 2024","July - September, 2024","Week 23, 2024",3471103.56,3471089.47,14.09,1744535.01,100.45,,42.45,988846.26,8150.98,55063.66,692331.21,,1948716.44,7164355.01,5106496.87,520331.16,1315048.36,208283.12,,35426.18,,7740,,,,165116.94,,,,,2063.6,12131.9,7164355.01
India,"Financial Year (Apr - Mar), 2024","August, 2024","July - September, 2024","Week 22, 2024",3458507.41,3458493.0,14,1702744.0,100,,42,1019456.0,8019,54887,620240,,1917383.0,7078634.0,5060196.99,518834,1315215.99,170298,,13381,,6968,,,,149949,,,,,2063.6,12025.19,7078634.0
